;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
0;The Three Stooges;The Three Stooges were an American vaudeville and comedy team active from 1922 until 1970, best known for their 190 short subject films by Columbia Pictures that have been regularly airing on television since 1958. Their hallmark was physical farce and slapstick. In films, the stooges were commonly known by their actual first names. There were a total of six stooges over the act's run (with only three active at any given time), but Moe Howard and Larry Fine were the mainstays throughout the ensemble's nearly fifty-year run.;1934;TV-PG;['comedy', 'family', 'animation', 'action', 'fantasy', 'horror'];['US'];26.0;8.6;1092.0
91;What's My Line?;"Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only ""yes"" or ""no"" questions.";1950;Unknown;['reality', 'family'];['US'];18.0;8.6;1563.0
956;I Love Lucy;Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.;1951;TV-G;['comedy', 'family'];['US'];9.0;8.5;25944.0
969;Mister Rogers' Neighborhood;"Mister Rogers' Neighborhood is an American children's television series that was created and hosted by namesake Fred Rogers. The series originated in 1963 as Misterogers on CBC Television, and was later debuted in 1966 as Misterogers' Neighborhood on the regional Eastern Educational Network, followed by its US network debut on February 19, 1968, and it aired on NET and its successor, PBS, until August 31, 2001. The series is aimed primarily at preschool ages 2 to 5, but has been stated by PBS as ""appropriate for all ages"". Mister Rogers' Neighborhood was produced by Pittsburgh, Pennsylvania, USA public broadcaster WQED and Rogers' non-profit production company Family Communications, Inc.; previously known as Small World Enterprises prior to 1971, the company was renamed The Fred Rogers Company after Rogers' death.";1968;TV-Y;['fantasy', 'music', 'family'];['US'];31.0;8.7;8675.0
980;Lupin the Third;Arsene Lupin III is the grandson of the master thief Arsene Lupin. With his cohorts Daisuke Jigen and Goemon Ishikawa XIII and his love interest Fujiko Mine, he pulls off the greatest heists of all time while always escaping the grasp of Inspector Koichi Zenigata.;1971;TV-14;['scifi', 'animation', 'action', 'comedy', 'crime'];['JP'];6.0;7.9;2116.0
983;Dark Shadows;"Dark Shadows is an American gothic soap opera that originally aired weekdays on the ABC television network, from June 27, 1966, to April 2, 1971. The show was created by Dan Curtis. The story bible, which was written by Art Wallace, does not mention any supernatural elements. It was unprecedented in daytime television when ghosts were introduced about six months after it began.

The series became hugely popular when vampire Barnabas Collins appeared a year into its run. Dark Shadows also featured werewolves, zombies, man-made monsters, witches, warlocks, time travel, and a parallel universe. A small company of actors each played many roles; indeed, as actors came and went, some characters were played by more than one actor. Major writers besides Art Wallace included Malcolm Marmorstein, Sam Hall, Gordon Russell, and Violet Welles.

Dark Shadows was distinguished by its vividly melodramatic performances, atmospheric interiors, memorable storylines, numerous dramatic plot twists, unusually adventurous music score, and broad and epic cosmos of characters and heroic adventures. Now regarded as something of a classic, it continues to enjoy an intense cult following. Although the original series ran for only five years, its scheduling as a daily daytime drama allowed it to amass more single episodes during its run than most other science-fiction/fantasy genre series produced for English-language television, including Doctor Who and the entire Star Trek television franchise. Only the paranormal soap opera Passions, with a total of 2,231 episodes, has more.";1966;TV-PG;['scifi', 'romance', 'thriller', 'drama', 'fantasy', 'horror'];['US'];12.0;8.1;4694.0
986;NOVA;PBS' premier science series helps viewers of all ages explore the science behind the headlines. Along the way, NOVA demystifies science and technology, and highlights the people involved in scientific pursuits.;1974;TV-PG;['documentation'];['US'];49.0;8.7;2725.0
987;Sanford and Son;The misadventures of a cantankerous junk dealer and his frustrated son.;1972;Unknown;['comedy'];['US'];6.0;7.9;9354.0
992;Space Patrol;Space Patrol is a science-fiction television series featuring marionettes that was produced in the United Kingdom in 1962 and broadcast beginning in 1963. It was written and produced by Roberta Leigh in association with the Associated British Corporation.;1963;Unknown;['action', 'family', 'scifi'];['GB'];3.0;7.4;88.0
994;The Jeffersons;Sitcom following a successful African-American couple, George and Louise “Weezyö Jefferson as they “move on up” from working-class Queens to a ritzy Manhattan apartment. A spin-off of All in the Family.;1975;Unknown;['comedy'];['US'];11.0;7.5;9250.0
