;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes
0;The Wizard of Oz;Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.;1939;G;102;['fantasy', 'family'];['US'];8.1;389774.0
1;Citizen Kane;Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.;1941;PG;119;['drama'];['US'];8.3;433804.0
2;Casablanca;In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.;1942;PG;102;['drama', 'romance', 'war'];['US'];8.5;558849.0
3;The Big Sleep;Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.;1946;Unknown;116;['thriller', 'crime'];['US'];7.9;84494.0
4;The Maltese Falcon;A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.;1941;Unknown;100;['thriller', 'romance', 'crime'];['US'];8.0;156603.0
5;Gone with the Wind;"The spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following Maj. Gen. William Sherman's destructive ""March to the Sea,” during the American Civil War.";1939;G;233;['war', 'romance', 'drama', 'history'];['US'];8.2;309856.0
7;The Treasure of the Sierra Madre;Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.;1948;Unknown;126;['western', 'drama'];['US'];8.2;122971.0
8;The Asphalt Jungle;"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.";1950;Unknown;112;['drama', 'thriller', 'crime'];['US'];7.8;26557.0
9;The Philadelphia Story;When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself. Remade as a musical in 1956 as High Society.;1940;Unknown;113;['romance', 'comedy'];['US'];7.9;68337.0
10;Rashomon;"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.";1950;Unknown;88;['drama', 'crime'];['JP'];8.2;165278.0
11;The Red Shoes;In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.;1948;Unknown;133;['romance', 'drama', 'music'];['GB'];8.1;34367.0
12;Stagecoach;A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.;1939;Unknown;96;['western', 'drama'];['US'];7.8;48149.0
13;M;In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.;1931;PG-13;117;['thriller', 'european', 'crime'];['DE'];8.3;155068.0
14;Freaks;A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.;1932;Unknown;62;['drama', 'horror'];['US'];7.9;45726.0
15;The Great Dictator;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;1940;Unknown;125;['comedy', 'war', 'drama'];['US'];8.4;219871.0
16;The 39 Steps;"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed -- with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as ""The 39 Steps.""";1935;Unknown;86;['thriller', 'crime'];['GB'];7.6;56259.0
17;The Lady Vanishes;On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.;1938;Unknown;96;['thriller'];['GB'];7.8;51847.0
18;Bicycle Thieves;A working man's livelihood is threatened when someone steals his bicycle.;1948;Unknown;88;['drama', 'european'];['IT'];8.3;160558.0
19;The Passion of Joan of Arc;A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.;1928;Unknown;110;['drama', 'european', 'history'];['FR'];8.2;53460.0
20;City Lights;In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.;1931;G;87;['romance', 'drama', 'comedy'];['US'];8.5;181367.0
21;Häxan;Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.;1922;Unknown;105;['horror', 'european', 'documentation', 'fantasy', 'history'];['SE'];7.6;14108.0
22;King Kong;Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world.;1933;Unknown;104;['fantasy', 'horror', 'scifi'];['US'];7.9;84414.0
23;Black Narcissus;A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love.;1947;Unknown;101;['drama'];['GB'];7.8;24474.0
24;To Be or Not to Be;During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.;1942;G;99;['comedy', 'european', 'romance', 'war'];['US'];8.2;35911.0
25;Great Expectations;In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.;1946;Unknown;118;['romance', 'drama'];['GB'];7.8;24201.0
26;Modern Times;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;1936;G;87;['drama', 'comedy', 'romance', 'family'];['US'];8.5;236933.0
