;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
6;Tom and Jerry;Tom and Jerry is an American animated franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera. Best known for its 161 theatrical short films by Metro-Goldwyn-Mayer, the series centers on a friendship/rivalry (a love-hate relationship) between the title characters Tom, a cat, and Jerry, a mouse. Many shorts also feature several recurring characters.;1940;Unknown;['animation', 'comedy', 'family', 'action'];['US'];16.0;7.7;853.0
197;Scooby-Doo, Where Are You!;Fred, Daphne, Velma, Shaggy, and the talking dog, Scooby-Doo, travel on the Mystery Machine van, in search of weird mysteries to solve.;1969;TV-G;['animation', 'comedy', 'crime', 'family'];['US'];3.0;7.9;33962.0
214;The Flintstones;The misadventures of two modern-day Stone Age families, the Flintstones and the Rubbles.;1960;TV-G;['family', 'animation', 'comedy'];['US'];6.0;7.5;36140.0
215;Sesame Street;On a special inner city street, the inhabitants—human and muppet—teach preschoolers basic educational and social concepts using comedy, cartoons, games, and songs.;1969;TV-Y;['family', 'fantasy', 'music', 'animation', 'comedy'];['US'];52.0;8.1;13666.0
217;The Jetsons;Meet George Jetson and his quirky family: wife Jane, son Elroy and daughter Judy. Living in the automated, push-button world of the future hasn't made life any easier for the harried husband and father, who gets into one comical misadventure after another!;1962;TV-G;['animation', 'family', 'scifi', 'comedy'];['US'];3.0;7.0;20830.0
270;Wonder Woman;With the strength of Hercules, the wisdom of Athena, the speed of Mercury and the beauty of Aphrodite, she’s Wonder Woman. Beautiful Amazon princess Wonder Woman travels to 1940s America disguised as Diana Prince, assistant to handsome but trouble-prone Major Steve Trevor. Using her golden belt, which imbues her with astonishing strength, her bullet-deflecting bracelets, a golden lasso that dispels dishonesty and an invisible supersonic plane, Wonder Woman combats evil.;1975;TV-PG;['action', 'scifi', 'fantasy', 'family', 'drama'];['US'];3.0;7.0;8480.0
300;Super Friends;The most powerful heroes ever--Superman, Wonder Woman, Aquaman, Batman and Robin--join forces with teenagers Wendy and Marvin and their dog, Marvel the Wonderdog, to defend justice and guard the innocent.;1973;TV-Y7;['animation', 'scifi', 'family', 'action'];['US'];9.0;7.2;2501.0
359;The Yogi Bear Show;From his home in Jellystone Park, Yogi Bear dreams of nothing more in life than to outwit as many unsuspecting tourists as he can and grab their prized picnic baskets all while staying one step ahead of the ever-exasperated Ranger Smith. Yogi's little buddy, Boo-Boo, tries to keep Yogi out of trouble but rarely succeeds. That's okay because not even Ranger Smith can stay mad for long at the lovable, irresistible Yogi Bear.;1961;TV-G;['comedy', 'animation', 'family'];['US'];4.0;6.6;10225.0
396;Scooby-Doo and Scrappy-Doo;The original thirty-minute version of Scooby-Doo and Scrappy-Doo constitutes the fourth incarnation of the Hanna-Barbera Saturday morning cartoon Scooby-Doo. It premiered on September 22, 1979 and ran for one season on ABC as a half-hour program. A total of sixteen episodes were produced. It was the last Hanna-Barbera cartoon series to use the studio's laugh track. Cartoon Network's classic channel Boomerang reruns the series.;1979;TV-G;['comedy', 'animation', 'thriller', 'crime', 'family'];['US'];6.0;6.3;4001.0
479;Aquaman;Aquaman is a Filmation animated series that premiered on CBS on September 9, 1967, and ended June 1970. It is a 30-minute version of The Superman/Aquaman Hour of Adventure, repackaged without the Superman and Superboy segments. The show is composed of previously-aired adventures featuring the DC Comics superheroes Aquaman and his sidekick Aqualad, the Atom, the Flash and Kid Flash, the Green Lantern and Hawkman. The Justice League of America and Teen Titans are also featured in team adventures.;1967;TV-Y;['animation', 'family', 'fantasy', 'action'];['US'];1.0;6.7;671.0
