;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes
1;Taxi Driver;A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.;1976;R;114;['drama', 'crime'];['US'];8.2;808582.0
2;Deliverance;Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.;1972;R;109;['drama', 'action', 'thriller', 'european'];['US'];7.7;107673.0
3;Monty Python and the Holy Grail;"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".";1975;PG;91;['fantasy', 'action', 'comedy'];['GB'];8.2;534486.0
4;The Dirty Dozen;12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.;1967;Unknown;150;['war', 'action'];['GB', 'US'];7.7;72662.0
6;Life of Brian;Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.;1979;R;94;['comedy'];['GB'];8.0;395024.0
7;Dirty Harry;When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.;1971;R;102;['thriller', 'action', 'crime'];['US'];7.7;155051.0
8;Bonnie and Clyde;In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.;1967;R;110;['crime', 'drama', 'action'];['US'];7.7;112048.0
9;The Blue Lagoon;Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?;1980;R;104;['romance', 'action', 'drama'];['US'];5.8;69844.0
10;The Guns of Navarone;A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.;1961;Unknown;158;['action', 'drama', 'war'];['GB', 'US'];7.5;50748.0
11;The Professionals;An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.;1966;PG-13;117;['western', 'action', 'european'];['US'];7.3;16446.0
12;Richard Pryor: Live in Concert;Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.;1979;R;78;['comedy', 'documentation'];['US'];8.1;5141.0
13;White Christmas;Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.;1954;Unknown;115;['romance', 'comedy'];['US'];7.5;42488.0
14;Cairo Station;Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.;1958;Unknown;77;['drama', 'crime', 'comedy'];['EG'];7.5;4471.0
15;Hitler: A Career;A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.;1977;PG;150;['history', 'documentation', 'european'];['DE'];7.5;2460.0
16;FTA;"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.";1972;R;97;['war', 'documentation', 'music', 'comedy'];['US'];6.2;418.0
17;Alexandria… Why?;Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.;1979;Unknown;133;['drama'];['EG'];7.2;1727.0
18;The Land;Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.;1969;Unknown;129;['drama'];['EG'];8.1;1958.0
19;Dostana;Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.;1980;Unknown;161;['drama', 'comedy', 'crime', 'romance', 'action'];['IN'];2.1;25.0
20;Saladin the Victorious;Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.;1963;Unknown;186;['action', 'drama', 'war', 'history', 'romance'];['EG'];7.6;2508.0
21;Alibaba Aur 40 Chor;The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.;1979;Unknown;146;['drama', 'romance', 'action', 'fantasy', 'family'];['SU', 'IN'];6.2;565.0
22;The Blazing Sun;A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.;1954;Unknown;100;['crime', 'romance', 'drama'];['EG'];7.4;1219.0
23;Dark Waters;Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.;1956;Unknown;120;['action', 'drama', 'romance', 'thriller'];['EG'];6.7;610.0
24;We Are All for the Fatherland;After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.;1979;Unknown;74;['documentation'];['LB', 'CA', 'FR'];6.1;47.0
25;Singapore;When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.;1960;Unknown;158;['drama', 'thriller', 'crime'];['IN'];6.4;84.0
27;Beirut, Oh Beirut;In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.;1975;Unknown;110;['drama'];['LB'];6.4;108.0
28;The Return of the Prodigal Son;In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.;1976;Unknown;124;['music', 'drama', 'crime'];['DZ', 'EG'];7.2;780.0
29;Khoon Khoon;As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.;1973;Unknown;131;['crime', 'thriller'];['IN'];5.1;41.0
30;Manoranjan;Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.;1974;Unknown;162;['romance', 'drama', 'comedy'];['IN'];6.5;237.0
31;Ujala;An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.;1959;Unknown;142;['romance', 'crime', 'drama'];['IN'];6.6;78.0
32;Whispers;At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.;1980;Unknown;93;['documentation'];['CA', 'FR', 'LB'];7.8;78.0
33;Chadi Jawani Budhe Nu;"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.";1976;Unknown;135;['romance'];['IN'];4.6;14.0
34;Bandie;Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.;1978;Unknown;141;['drama', 'action', 'romance'];['IN'];4.4;35.0
36;GoodFellas;The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.;1990;R;145;['drama', 'crime'];['US'];8.7;1131681.0
37;Full Metal Jacket;A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;1987;R;117;['war', 'drama'];['US', 'GB'];8.3;729274.0
38;Once Upon a Time in America;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;1984;R;139;['crime', 'drama', 'european'];['US', 'IT'];8.3;345714.0
39;When Harry Met Sally...;During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.;1989;R;96;['comedy', 'romance', 'drama'];['US'];7.7;216199.0
40;A Nightmare on Elm Street;Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...;1984;R;91;['horror'];['GB', 'US'];7.4;234068.0
41;Steel Magnolias;A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.;1989;PG;119;['comedy', 'drama', 'romance'];['US'];7.3;54946.0
42;Police Academy;New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!;1984;R;97;['crime', 'comedy'];['US'];6.7;124881.0
43;Christine;Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.;1983;R;110;['horror', 'thriller', 'european'];['US'];6.7;81922.0
47;Awakenings;"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.";1990;PG-13;120;['drama', 'european'];['US'];7.8;139240.0
49;National Lampoon's Christmas Vacation;It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.;1989;PG-13;97;['comedy', 'european'];['US'];7.5;185760.0
