;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes;platform
10332;The Shawshank Redemption;Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.;1994;R;142;['crime', 'drama'];['US'];9.3;2548100.0;HBO Max
11541;Emergency Contact;Can 30-something Roxanna Biltmore handle the matters of her heart concerning her high school crush or will she try something new with Vince Cotton? Watch this woman go from NO emergency contacts to two.;2015;Unknown;54;['comedy'];['US'];9.2;11.0;HBO Max
3604;King B.'s Roost 1-2;Chicago Mafia Hit Man Alex Sims finds himself on the wrong end of the gun in this story about a hit man that gets hit by his own organization.;2008;Unknown;62;['crime'];['US'];9.2;12.0;Amazon Prime
4640;A Promise to My Father;"We re-trace the steps of Holocaust survivor Israel Arbeiter as he returns to Poland and Germany for the final time to look for items buried in 1939 in the basement of his old home in Plock, Poland as the German army advanced. We also travel with ""Izzy"" to Treblinka death camp where his parents and younger brother were murdered and to other camps, most notably Auschwitz-Birkenau, where ""Izzy"" used the motivation of his father's final words to him to stay alive.";2013;Unknown;56;['documentation'];['US'];9.2;8.0;Amazon Prime
1934;Steven Banks: Home Entertainment Center;In this brilliant one-man show, the mild-mannered, thirty-something Steven Banks arrives home after a long day at his dead-end corporate job, still dreaming of being a rock star. Steven receives a message on his machine from his boss, Mr. Buttle, informing him that he never received an urgent speech Steven wrote for the board of directors. Steven must scramble to write a new one, but he has less than an hour to do it. Along the way, he continually procrastinates and distracts himself from the task at hand, playing with toys and various musical instruments, baking cookies, putting on costumes, leafing through an old high school yearbook and performing some hilarious original songs along the way. Meanwhile, he's got to deal with his grumpy landlord Mr. Mescue, his clingy girlfriend Phoebe and even a broken toilet. Will Steven ever finish his speech? Or does fate have something else in mind for him?;1989;Unknown;60;['comedy'];['US'];9.1;228.0;Amazon Prime
5354;Unity: The Latin Tribute to Michael Jackson;This unique musical tribute to the King of Pop features over 40 musicians and artists from around the world uniting on stage to perform Latin-infused arrangements of 10 Michael Jackson classic songs.;2015;Unknown;54;['music'];['US'];9.0;9.0;Amazon Prime
10593;The Dark Knight;Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.;2008;PG-13;152;['thriller', 'action', 'crime', 'drama'];['GB', 'US'];9.0;2555504.0;HBO Max
11763;Euphoria: Trouble Don't Last Always;After changing her mind to run away with Jules at the train station and relapsing, Rue celebrates Christmas.;2020;R;57;['drama'];['US'];9.0;Unknown;HBO Max
12138;Juan Luis Guerra 4.40: Entre Mar y Palmeras;The renowned Dominican composer, musician, producer, and singer Juan Luis Guerra offers a historic concert from the beautiful and lush beaches of Miches, located in the eastern region of the Dominican Republic.;2021;PG;70;['music'];['DO'];9.0;18.0;HBO Max
10709;The Lord of the Rings: The Return of the King;Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.;2003;PG-13;201;['fantasy', 'action', 'drama'];['NZ', 'US'];9.0;1776725.0;HBO Max
