;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes;platform
4640;The Promised Neverland;"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage — a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family... never to be heard from again.

However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.";2019;TV-MA;['animation', 'thriller', 'scifi', 'action', 'drama', 'horror', 'fantasy'];['JP'];2.0;9.2;36018.0;Netflix
3604;Doug to the Rescue;Aerial cinematographer Doug Thron uses next-generation drone technology to find animals who are stranded or left behind by natural disasters and get them back safely to their owners or to their natural habitat.;2021;Unknown;['documentation'];['US'];1.0;9.2;Unknown;HBO Max
1934;Takamiya Nasuno Desu! Teekyu Spinoff;"A spin-off from Teekyuu which centers on the daily life of Nasuno Takamiya, the ""exceedingly airheaded"" school tennis club member in Teekyuu, and her friends.";2015;Unknown;['animation', 'comedy'];['JP'];1.0;9.1;9.0;Crunchyroll
5354;Change Days;Struggling real-life couples date each other's partners to decide who to leave with: the same person they walked in with or someone new.;2021;TV-PG;['reality'];['KR'];2.0;9.0;Unknown;Netflix
5378;Life After Death with Tyler Henry;Clairvoyant medium Tyler Henry offers clarity and closure from the beyond while searching through his own family's past in an intimate reality series.;2022;TV-MA;['reality'];['US'];1.0;9.0;913.0;Netflix
1760;Locodol;Unknown;2014;TV-PG;['animation', 'comedy'];['JP'];1.0;8.9;84.0;Crunchyroll
4720;Floor is Lava;Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers.;2020;TV-Y7;['reality'];['US'];2.0;8.9;2429.0;Netflix
5372;Crime Scene: The Vanishing at the Cecil Hotel;The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. A dive into crime's darkest places.;2021;TV-MA;['documentation', 'crime', 'thriller'];['US'];1.0;8.8;16799.0;Netflix
2714;Buried Secrets of The Bible With Albert Lin;Albert Lin investigates two great stories of the Bible: Could real events lie behind the parting of the Red Sea and the destruction of Sodom and Gomorrah?;2019;TV-PG;['documentation', 'history'];['US'];1.0;8.8;188.0;Disney+
4081;The Miracle;How could twin sisters be such polar opposites? Kwon Shi Ah is the beautiful sister, gorgeous in every way and a member of the popular girl group known as Miracle Girls. Since she was in preschool, Shia has worked as a model and then a teen actress before becoming an idol. Her fraternal twin sister, Shi Yeon, is almost double the body size of Shi Ah and has always been ridiculed and bullied in school for her large frame. Because of this, Shi Yeon has become a recluse, who prefers staying home and producing an Internet broadcast within the safety of her room. The only time Shi Yeon ventures out is to visit a mysterious tarot card reader who gives Shi Yeon a magical tarot card every day. But the twin sisters’ lives are turned upside down when they wake up one day and realize that their souls have switched bodies! What will an idol musician and Shi Yeon’s high school crush think of the women they thought they knew?;2016;TV-14;['drama', 'comedy', 'fantasy', 'music'];['KR'];1.0;8.7;214.0;Netflix
